Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,s1-brdr1,Ethernet2,10.0.0.17/31,spine,s1-spine1,Ethernet7,10.0.0.16/31
l3leaf,s1-brdr1,Ethernet3,10.0.0.19/31,spine,s1-spine2,Ethernet7,10.0.0.18/31
l3leaf,s1-brdr1,Ethernet4,10.255.0.0/31,l3leaf,s2-brdr1,Ethernet4,10.255.0.1/31
l3leaf,s1-brdr2,Ethernet2,10.0.0.21/31,spine,s1-spine1,Ethernet8,10.0.0.20/31
l3leaf,s1-brdr2,Ethernet3,10.0.0.23/31,spine,s1-spine2,Ethernet8,10.0.0.22/31
l3leaf,s1-brdr2,Ethernet5,10.255.0.2/31,l3leaf,s2-brdr2,Ethernet5,10.255.0.3/31
l3leaf,s1-leaf1,Ethernet2,10.0.0.1/31,spine,s1-spine1,Ethernet2,10.0.0.0/31
l3leaf,s1-leaf1,Ethernet3,10.0.0.3/31,spine,s1-spine2,Ethernet2,10.0.0.2/31
l3leaf,s1-leaf2,Ethernet2,10.0.0.5/31,spine,s1-spine1,Ethernet3,10.0.0.4/31
l3leaf,s1-leaf2,Ethernet3,10.0.0.7/31,spine,s1-spine2,Ethernet3,10.0.0.6/31
l3leaf,s1-leaf3,Ethernet2,10.0.0.9/31,spine,s1-spine1,Ethernet4,10.0.0.8/31
l3leaf,s1-leaf3,Ethernet3,10.0.0.11/31,spine,s1-spine2,Ethernet4,10.0.0.10/31
l3leaf,s1-leaf4,Ethernet2,10.0.0.13/31,spine,s1-spine1,Ethernet5,10.0.0.12/31
l3leaf,s1-leaf4,Ethernet3,10.0.0.15/31,spine,s1-spine2,Ethernet5,10.0.0.14/31
l3leaf,s2-brdr1,Ethernet2,10.0.0.17/31,spine,s2-spine1,Ethernet7,10.0.0.16/31
l3leaf,s2-brdr1,Ethernet3,10.0.0.19/31,spine,s2-spine2,Ethernet7,10.0.0.18/31
l3leaf,s2-brdr2,Ethernet2,10.0.0.21/31,spine,s2-spine1,Ethernet8,10.0.0.20/31
l3leaf,s2-brdr2,Ethernet3,10.0.0.23/31,spine,s2-spine2,Ethernet8,10.0.0.22/31
l3leaf,s2-leaf1,Ethernet2,10.0.0.1/31,spine,s2-spine1,Ethernet2,10.0.0.0/31
l3leaf,s2-leaf1,Ethernet3,10.0.0.3/31,spine,s2-spine2,Ethernet2,10.0.0.2/31
l3leaf,s2-leaf2,Ethernet2,10.0.0.5/31,spine,s2-spine1,Ethernet3,10.0.0.4/31
l3leaf,s2-leaf2,Ethernet3,10.0.0.7/31,spine,s2-spine2,Ethernet3,10.0.0.6/31
l3leaf,s2-leaf3,Ethernet2,10.0.0.9/31,spine,s2-spine1,Ethernet4,10.0.0.8/31
l3leaf,s2-leaf3,Ethernet3,10.0.0.11/31,spine,s2-spine2,Ethernet4,10.0.0.10/31
l3leaf,s2-leaf4,Ethernet2,10.0.0.13/31,spine,s2-spine1,Ethernet5,10.0.0.12/31
l3leaf,s2-leaf4,Ethernet3,10.0.0.15/31,spine,s2-spine2,Ethernet5,10.0.0.14/31
